Question ID (machine readable),Response ID (machine readable),Response value,Answer requirement,Human-friendly question label
PSL_DATA_COLLECTION_COLLECTS_PERSONAL_DATA,,true,REQUIRED,แอปของคุณรวบรวมหรือแชร์ประเภทข้อมูลผู้ใช้ที่จำเป็นหรือไม่
PSL_DATA_COLLECTION_ENCRYPTED_IN_TRANSIT,,true,MAYBE_REQUIRED,ข้อมูลผู้ใช้ทั้งหมดที่แอปของคุณรวบรวมได้รับการเข้ารหัสระหว่างการส่งหรือไม่
PSL_DATA_COLLECTION_USER_REQUEST_DELETE,,true,MAYBE_REQUIRED,คุณมีตัวเลือกให้ผู้ใช้ขอลบข้อมูลของตนเองหรือไม่
PSL_DATA_COLLECTION_COMPLIES_FAMILY_POLICY,,,OPTIONAL,ตอบคำถามข้อนี้ก็ต่อเมื่อคุณได้ระบุว่ากลุ่มอายุเป้าหมายของแอปรวมเด็กๆ ด้วย หรือเมื่อคุณเลือกเข้าร่วมโปรแกรมออกแบบเพื่อครอบครัว หากคุณเลือกข้อใดข้อหนึ่งข้างต้นนี้ คุณจะต้องปฏิบัติตามนโยบายเพื่อครอบครัวของ Google Play (https://support.google.com/googleplay/android-developer/answer/9893335) คุณต้องการแจ้งให้ผู้ใช้ทราบถึงความมุ่งมั่นนี้ในส่วนความปลอดภัยของข้อมูลในข้อมูลผลิตภัณฑ์ใน Store หรือไม่
PSL_DATA_TYPES_PERSONAL,PSL_NAME,true,MULTIPLE_CHOICE,ข้อมูลส่วนบุคคล / ชื่อ
PSL_DATA_TYPES_PERSONAL,PSL_EMAIL,true,MULTIPLE_CHOICE,ข้อมูลส่วนบุคคล / ที่อยู่อีเมล
PSL_DATA_TYPES_PERSONAL,PSL_USER_ACCOUNT,true,MULTIPLE_CHOICE,ข้อมูลส่วนบุคคล / รหัสผู้ใช้
PSL_DATA_TYPES_PERSONAL,PSL_ADDRESS,,MULTIPLE_CHOICE,ข้อมูลส่วนบุคคล / ที่อยู่
PSL_DATA_TYPES_PERSONAL,PSL_PHONE,true,MULTIPLE_CHOICE,ข้อมูลส่วนบุคคล / หมายเลขโทรศัพท์
PSL_DATA_TYPES_PERSONAL,PSL_RACE_ETHNICITY,,MULTIPLE_CHOICE,ข้อมูลส่วนบุคคล / เชื้อชาติและชาติกำเนิด
PSL_DATA_TYPES_PERSONAL,PSL_POLITICAL_RELIGIOUS,,MULTIPLE_CHOICE,ข้อมูลส่วนบุคคล / ความเชื่อทางการเมืองหรือศาสนา
PSL_DATA_TYPES_PERSONAL,PSL_SEXUAL_ORIENTATION_GENDER_IDENTITY,,MULTIPLE_CHOICE,ข้อมูลส่วนบุคคล / วิถีทางเพศ
PSL_DATA_TYPES_PERSONAL,PSL_OTHER_PERSONAL,,MULTIPLE_CHOICE,ข้อมูลส่วนบุคคล / ข้อมูลอื่นๆ
PSL_DATA_TYPES_FINANCIAL,PSL_CREDIT_DEBIT_BANK_ACCOUNT_NUMBER,,MULTIPLE_CHOICE,ข้อมูลทางการเงิน / ข้อมูลการชำระเงินของผู้ใช้
PSL_DATA_TYPES_FINANCIAL,PSL_PURCHASE_HISTORY,,MULTIPLE_CHOICE,ข้อมูลทางการเงิน / ประวัติการซื้อ
PSL_DATA_TYPES_FINANCIAL,PSL_CREDIT_SCORE,,MULTIPLE_CHOICE,ข้อมูลทางการเงิน / คะแนนเครดิต
PSL_DATA_TYPES_FINANCIAL,PSL_OTHER,,MULTIPLE_CHOICE,ข้อมูลทางการเงิน / ข้อมูลทางการเงินอื่นๆ
PSL_DATA_TYPES_LOCATION,PSL_APPROX_LOCATION,,MULTIPLE_CHOICE,ตำแหน่ง / ตำแหน่งโดยประมาณ
PSL_DATA_TYPES_LOCATION,PSL_PRECISE_LOCATION,,MULTIPLE_CHOICE,ตำแหน่ง / ตำแหน่งที่แน่นอน
PSL_DATA_TYPES_SEARCH_AND_BROWSING,PSL_WEB_BROWSING_HISTORY,,MULTIPLE_CHOICE,การท่องเว็บ / ประวัติการท่องเว็บ
PSL_DATA_TYPES_EMAIL_AND_TEXT,PSL_EMAILS,true,MULTIPLE_CHOICE,ข้อความ / อีเมล
PSL_DATA_TYPES_EMAIL_AND_TEXT,PSL_SMS_CALL_LOG,,MULTIPLE_CHOICE,ข้อความ / SMS หรือ MMS
PSL_DATA_TYPES_EMAIL_AND_TEXT,PSL_OTHER_MESSAGES,,MULTIPLE_CHOICE,ข้อความ / การรับส่งข้อความในแอปอื่นๆ
PSL_DATA_TYPES_PHOTOS_AND_VIDEOS,PSL_PHOTOS,,MULTIPLE_CHOICE,รูปภาพและวิดีโอ / รูปภาพ
PSL_DATA_TYPES_PHOTOS_AND_VIDEOS,PSL_VIDEOS,,MULTIPLE_CHOICE,รูปภาพและวิดีโอ / วิดีโอ
PSL_DATA_TYPES_AUDIO,PSL_AUDIO,,MULTIPLE_CHOICE,ไฟล์เสียง / การบันทึกเสียง
PSL_DATA_TYPES_AUDIO,PSL_MUSIC,,MULTIPLE_CHOICE,ไฟล์เสียง / ไฟล์เพลง
PSL_DATA_TYPES_AUDIO,PSL_OTHER_AUDIO,,MULTIPLE_CHOICE,ไฟล์เสียง / ไฟล์เสียงอื่นๆ
PSL_DATA_TYPES_HEALTH_AND_FITNESS,PSL_HEALTH,,MULTIPLE_CHOICE,สุขภาพและการออกกำลังกาย / ข้อมูลสุขภาพ
PSL_DATA_TYPES_HEALTH_AND_FITNESS,PSL_FITNESS,,MULTIPLE_CHOICE,สุขภาพและการออกกำลังกาย / ข้อมูลการออกกำลังกาย
PSL_DATA_TYPES_CONTACTS,PSL_CONTACTS,,MULTIPLE_CHOICE,รายชื่อติดต่อ / รายชื่อติดต่อ
PSL_DATA_TYPES_CALENDAR,PSL_CALENDAR,,MULTIPLE_CHOICE,ปฏิทิน / กิจกรรมในปฏิทิน
